employee_id,first_name,last_name,gender,date_of_birth,marital_status,email,phone_number,home_address,job_title,department,employment_status,hire_date,employment_type,work_location,salary,bank_details,health_plan,promotions
EMP-1,Gaile,Benion,Male,16-12-1970,Married,gaile.benion@company.com,(525) 9871309,2 Bluestem Place,Business Systems Development Analyst,Engineering,Active,20-06-2002,Contract,Head Office,3580,17-422-1627,Point of Service,Promoted
EMP-2,Tamas,Jaouen,Male,28-01-1973,Married,tamas.jaouen@company.com,(360) 7633276,2 Waywood Junction,Media Manager I,Human Resources,On Leave,08-04-2009,Permanent,Head Office,3600,94-466-8068,Medicare,Promoted
EMP-3,Leonidas,Jorez,Male,28-09-2012,Married,leonidas.jorez@company.com,(714) 2211581,3545 Burrows Circle,Assistant Media Planner,Engineering,Active,22-11-1998,Contract,Branch,6602,37-790-5781,Medicare,Unchanged
EMP-4,Bonita,Martlew,Female,02-06-1989,Married,bonita.martlew@company.com,(422) 8634610,922 Melody Road,Environmental Tech,Business Development,On Leave,08-12-1996,Permanent,Site,2691,47-127-8741,Preferred Provider Organization,Promoted
EMP-5,Giffer,Ludovico,Male,28-11-2020,Married,giffer.ludovico@company.com,(457) 1262664,349 Thierer Drive,Senior Editor,Support,Active,05-05-2021,Permanent,Branch,3534,14-975-5107,Health Maintenance Organization,Unchanged
EMP-6,Archaimbaud,Kitcher,Male,08-11-1984,Married,archaimbaud.kitcher@company.com,(218) 2221207,09 Reindahl Road,VP Product Management,Engineering,On Leave,09-01-2004,Permanent,Branch,2976,15-284-4617,High Deductible Health Plan,Unchanged
EMP-7,Zachary,Poulsom,Male,23-09-1984,Divorced,zachary.poulsom@company.com,(765) 7546535,51 Crownhardt Hill,Professor,Product Management,Active,26-05-2000,Contract,Head Office,2607,79-102-6959,Health Maintenance Organization,Unchanged
EMP-8,Claudius,Serrell,Male,16-05-1978,Married,claudius.serrell@company.com,(255) 9138485,9 Merchant Pass,Environmental Tech,Human Resources,Active,17-10-2023,Casual,Branch,2119,31-775-1145,Medicare,Demoted
EMP-9,Byrann,Antonijevic,Male,20-02-1993,Married,byrann.antonijevic@company.com,(426) 9806954,22 Hudson Place,VP Marketing,Sales,Terminated,23-03-2003,Permanent,Site,1936,64-701-5949,Health Maintenance Organization,Unchanged
EMP-10,Eduardo,Goodchild,Male,24-04-2003,Married,eduardo.goodchild@company.com,(807) 1479538,6 Mosinee Hill,Systems Administrator IV,Marketing,Active,18-06-1997,Permanent,Branch,2506,07-848-7027,Point of Service,Unchanged
