employee_id,full_names,base_salary,overtime_hours,overtime_pay,tax_deduction,retirement_contr,loan_deductions,net_pay,payment_method,bank_name,account_number
EMP-1,Gaile Benion,3580,14,196,895,35.8,79,2766.2,Direct Deposit,City Bank,17-422-1627
EMP-2,Tamas Jaouen,3600,8,112,900,36,242,2534,Direct Deposit,StanBank,94-466-8068
EMP-3,Leonidas Jorez,6602,8,112,1650.5,66.02,395,4602.48,Check,StanBank,37-790-5781
EMP-4,Bonita Martlew,2691,6,84,672.75,26.91,214,1861.34,Check,JPG Bank,47-127-8741
EMP-5,Giffer Ludovico,3534,14,196,883.5,35.34,163,2648.16,Check,JPG Bank,14-975-5107
EMP-6,Archaimbaud Kitcher,2976,1,14,744,29.76,245,1971.24,Direct Deposit,JPG Bank,15-284-4617
EMP-7,Zachary Poulsom,2607,15,210,651.75,26.07,123,2016.18,Direct Deposit,StanBank,79-102-6959
EMP-8,Claudius Serrell,2119,10,140,529.75,21.19,373,1335.06,Direct Deposit,StanBank,31-775-1145
EMP-9,Byrann Antonijevic,1936,4,56,484,19.36,97,1391.64,Direct Deposit,Chart bank,64-701-5949
EMP-10,Eduardo Goodchild,2506,8,112,626.5,25.06,342,1624.44,Check,ABC Bank,07-848-7027
EMP-11,Peadar Lorenzo,6677,1,14,1669.25,66.77,99,4855.98,Check,StanBank,46-441-1281
EMP-12,Eula Goldspink,5659,3,42,1414.75,56.59,125,4104.66,Check,Chart bank,66-455-8921
EMP-13,Ferdy Cremin,3633,7,98,908.25,36.33,375,2411.42,Check,ABC Bank,56-092-8872
EMP-14,Arthur Couling,4207,11,154,1051.75,42.07,62,3205.18,Check,ABC Bank,48-661-4804
EMP-15,Nettie Kille,5776,11,154,1444,57.76,216,4212.24,Check,City Bank,22-905-9056
EMP-16,Angelika Parfrey,2882,4,56,720.5,28.82,16,2172.68,Check,Chart bank,05-700-5795
EMP-17,Imelda Greenin,3501,14,196,875.25,35.01,245,2541.74,Direct Deposit,Chart bank,20-704-0568
EMP-18,Kit Nucciotti,1372,10,140,343,13.72,65,1090.28,Direct Deposit,StanBank,65-382-4422
EMP-19,Homerus Prue,3076,9,126,769,30.76,323,2079.24,Check,Equator Bank,78-808-9511
EMP-20,Hobey Northcliffe,1904,3,42,476,19.04,270,1180.96,Direct Deposit,Equator Bank,60-897-6710
EMP-21,Cletus Winkle,5783,2,28,1445.75,57.83,352,3955.42,Check,Equator Bank,79-053-0039
EMP-22,Sylvan Malham,2193,5,70,548.25,21.93,340,1352.82,Check,ABC Bank,01-487-2515
EMP-23,Antonie Bisco,5794,13,182,1448.5,57.94,355,4114.56,Direct Deposit,Equator Bank,13-448-9809
EMP-24,Kenton Arnaudet,2748,2,28,687,27.48,284,1777.52,Direct Deposit,ABC Bank,35-735-9945
EMP-25,Conway Sapp,3801,9,126,950.25,38.01,222,2716.74,Check,City Bank,06-240-7858
EMP-26,Garwin Pinkney,6172,0,0,1543,61.72,368,4199.28,Direct Deposit,JPG Bank,73-069-6281
EMP-27,Freda Lawday,4388,6,84,1097,43.88,232,3099.12,Check,City Bank,36-995-3591
EMP-28,Dionis Ellwell,3106,7,98,776.5,31.06,114,2282.44,Check,Chart bank,75-383-3760
EMP-29,Ashley Grinikhin,3232,14,196,808,32.32,115,2472.68,Check,JPG Bank,46-726-0163
EMP-30,Christian Ocklin,3762,0,0,940.5,37.62,222,2561.88,Check,City Bank,93-509-5153
EMP-31,Johnathon Wakely,4853,7,98,1213.25,48.53,79,3610.22,Direct Deposit,JPG Bank,05-867-8696
EMP-32,Gauthier Scranny,2780,4,56,695,27.8,329,1784.2,Direct Deposit,ABC Bank,44-954-5335
EMP-33,Linnet Craythorne,5820,4,56,1455,58.2,343,4019.8,Check,City Bank,55-609-7891
EMP-34,Kliment Grabiec,6637,11,154,1659.25,66.37,91,4974.38,Direct Deposit,City Bank,58-892-7737
EMP-35,Roi Bray,3304,1,14,826,33.04,194,2264.96,Check,StanBank,37-792-9833
EMP-36,Woodie Maitland,4003,10,140,1000.75,40.03,154,2948.22,Check,ABC Bank,84-934-6755
EMP-37,Thor Tiler,4192,9,126,1048,41.92,216,3012.08,Direct Deposit,Chart bank,92-783-2654
EMP-38,Blane Endacott,6795,8,112,1698.75,67.95,314,4826.3,Check,City Bank,18-459-5095
EMP-39,Noreen Selvey,4202,10,140,1050.5,42.02,384,2865.48,Check,StanBank,00-144-0337
EMP-40,Curtis Cottie,6574,13,182,1643.5,65.74,394,4652.76,Direct Deposit,Chart bank,52-721-8268
