user_id,first_name,last_name,user_name,password,role,department,status
USER_1,Gaile,Benion,g_benion,Benion7697/,Technical Writer,Engineering,Active
USER_2,Tamas,Jaouen,t_jaouen,Jaouen1096?,Admin,Human Resources,Active
USER_3,Leonidas,Jorez,l_jorez,Jorez8035@,Scrum Master,Engineering,Inactive
USER_4,Bonita,Martlew,b_martlew,Martlew4341%,Legal Counsel,Business Development,Active
USER_5,Giffer,Ludovico,g_ludovico,Ludovico1441&,Employee,Support,Active
USER_6,Archaimbaud,Kitcher,a_kitcher,Kitcher3329@,Product Manager,Engineering,Active
USER_7,Zachary,Poulsom,z_poulsom,Poulsom1885&,Event Planner,Product Management,Active
USER_8,Claudius,Serrell,c_serrell,Serrell1783$,Solution Architect,Human Resources,Active
USER_9,Byrann,Antonijevic,b_antonijevic,Antonijevic9122?,Engineer,Sales,Active
USER_10,Eduardo,Goodchild,e_goodchild,Goodchild1664@,Employee,Marketing,Inactive
USER_11,Peadar,Lorenzo,p_lorenzo,Lorenzo7057$,Admin,Engineering,Active
USER_12,Eula,Goldspink,e_goldspink,Goldspink9611*,Customer Service Agent,Marketing,Active
USER_13,Ferdy,Cremin,f_cremin,Cremin1691@,Specialist,Business Development,Active
USER_14,Arthur,Couling,a_couling,Couling2497/,Project Manager,Support,Active
USER_15,Nettie,Kille,n_kille,Kille2952/,Database Administrator,Training,Active
USER_16,Angelika,Parfrey,c##a_parfrey,Parfrey9371,Network Engineer,Engineering,Active
USER_17,Imelda,Greenin,i_greenin,Greenin9965$,Engineer,Training,Inactive
USER_18,Kit,Nucciotti,k_nucciotti,Nucciotti8166\,Security Analyst,Marketing,Inactive
USER_19,Homerus,Prue,h_prue,Prue6972@,Solution Architect,Support,Active
USER_20,Hobey,Northcliffe,h_northcliffe,Northcliffe1826@,Sales Representative,Business Development,Active
USER_21,Cletus,Winkle,c_winkle,Winkle4139&,Product Manager,Sales,Active
USER_22,Sylvan,Malham,s_malham,Malham2624?,Team Lead,Engineering,Active
USER_23,Antonie,Bisco,a_bisco,Bisco2830*,DevOps Engineer,Business Development,Active
USER_24,Kenton,Arnaudet,c##k_arnaudet,Arnaudet7053,Coordinator,Human Resources,Active
USER_25,Conway,Sapp,c_sapp,Sapp7552$,Product Manager,Sales,Active
USER_26,Garwin,Pinkney,g_pinkney,Pinkney5315&,Sales Representative,Marketing,Active
USER_27,Freda,Lawday,f_lawday,Lawday1124&,Supervisor,Support,Active
USER_28,Dionis,Ellwell,d_ellwell,Ellwell3991%,UX/UI Designer,Legal,Active
USER_29,Ashley,Grinikhin,a_grinikhin,Grinikhin3945$,Database Administrator,Human Resources,Active
USER_30,Christian,Ocklin,c_ocklin,Ocklin1285\,Public Relations Officer,Research and Development,Active
USER_31,Johnathon,Wakely,j_wakely,Wakely6088\,Marketing Specialist,Sales,Active
USER_32,Gauthier,Scranny,g_scranny,Scranny8668$,Analyst,Support,Active
USER_33,Linnet,Craythorne,l_craythorne,Craythorne9313&,Researcher,Research and Development,Active
USER_34,Kliment,Grabiec,k_grabiec,Grabiec2221@,Graphic Designer,Accounting,Inactive
USER_35,Roi,Bray,r_bray,Bray6193\,Operations Manager,Research and Development,Active
USER_36,Woodie,Maitland,w_maitland,Maitland1562/,Assistant,Research and Development,Active
USER_37,Thor,Tiler,t_tiler,Tiler6271?,Scrum Master,Support,Active
USER_38,Blane,Endacott,b_endacott,Endacott8128*,Director,Services,Active
USER_39,Noreen,Selvey,n_selvey,Selvey5968/,Business Development Manager,Services,Active
USER_40,Curtis,Cottie,c##c_cottie,Cottie3542,Trainer,Product Management,Active
USER_41,Kory,Morston,k_morston,Morston7484/,Security Analyst,Product Management,Active
USER_42,Duky,Otridge,d_otridge,Otridge8638/,Lead Developer,Training,Active
USER_43,Petronilla,Meakin,p_meakin,Meakin6513$,Security Analyst,Training,Active
USER_44,Malcolm,Springate,m_springate,Springate8557%,Specialist,Product Management,Inactive
USER_45,Fernande,Dinsell,f_dinsell,Dinsell2793@,Director,Accounting,Active
USER_46,Hyacinth,Kliesl,c##h_kliesl,Kliesl9578,Social Media Manager,Support,Active
USER_47,Dianemarie,Garrie,d_garrie,Garrie3777%,Financial Advisor,Support,Inactive
USER_48,Vickie,Habbijam,v_habbijam,Habbijam5891*,Designer,Human Resources,Active
USER_49,Roddie,Smeaton,r_smeaton,Smeaton7077?,Architect,Human Resources,Active
USER_50,Skippy,Mattheus,s_mattheus,Mattheus6398/,Project Manager,Research and Development,Active
USER_51,Milty,Seymer,m_seymer,Seymer6524@,Engineer,Product Management,Active
USER_52,Maurise,Gerrad,m_gerrad,Gerrad2268$,Supervisor,Human Resources,Active
USER_53,Raphael,Werner,r_werner,Werner5342%,Database Administrator,Business Development,Active
USER_54,Rabi,MacRedmond,r_macredmond,MacRedmond5887*,Public Relations Officer,Support,Active
USER_55,Kandace,Strooband,k_strooband,Strooband3305/,Graphic Designer,Training,Active
USER_56,Curt,Kubasiewicz,c_kubasiewicz,Kubasiewicz2089*,Assistant,Marketing,Inactive
USER_57,Meagan,Brownsmith,m_brownsmith,Brownsmith9446/,Graphic Designer,Product Management,Inactive
USER_58,Codee,Skiplorne,c_skiplorne,Skiplorne7721/,Assistant,Research and Development,Active
USER_59,Davis,Robatham,d_robatham,Robatham3335\,Database Administrator,Research and Development,Active
